subcategory_id,subcategory
subcat_1,food trucks
subcat_2,rock
subcat_3,web
subcat_4,plays
subcat_5,documentary
subcat_6,electric music
subcat_7,drama
subcat_8,indie rock
subcat_9,wearables
subcat_10,nonfiction
subcat_11,animation
subcat_12,video games
subcat_13,shorts
subcat_14,fiction
subcat_15,photography books
subcat_16,radio & podcasts
subcat_17,metal
subcat_18,jazz
subcat_19,translations
subcat_20,television
subcat_21,mobile games
subcat_22,world music
subcat_23,science fiction
subcat_24,audio
